Location,Time_Code,TAN_F,TAX_F,I,v,PA_atm
"Tucson, AZ",Annual,54.20833333,81.65833333,1872.333333,8.3,13.4125
"Tulsa, OK",1,24.8,45.6,732,10.3,14.384
"Tulsa, OK",2,29.5,51.9,978,10.3,14.384
"Tulsa, OK",3,37.7,60.8,1306,10.3,14.384
"Tulsa, OK",4,49.5,72.4,1603,10.3,14.384
"Tulsa, OK",5,58.5,79.7,1822,10.3,14.384
"Tulsa, OK",6,67.5,87.9,2021,10.3,14.384
"Tulsa, OK",7,72.4,93.9,2031,10.3,14.384
"Tulsa, OK",8,70.3,93,1865,10.3,14.384
"Tulsa, OK",9,62.5,85,1473,10.3,14.384
"Tulsa, OK",10,50.3,74.9,1164,10.3,14.384
"Tulsa, OK",11,38.1,60.2,827,10.3,14.384
"Tulsa, OK",12,29.3,50.3,659,10.3,14.384
"Tulsa, OK",Annual,49.2,71.3,1373.416667,10.3,14.384
"Wichita, KS",1,19.4,39.8,784,12.3,14.036
"Wichita, KS",2,24.1,46.1,1058,12.3,14.036
"Wichita, KS",3,32.4,55.8,1406,12.3,14.036
"Wichita, KS",4,44.5,68.1,1783,12.3,14.036
"Wichita, KS",5,54.6,77.1,2036,12.3,14.036
"Wichita, KS",6,64.7,87.4,2264,12.3,14.036
"Wichita, KS",7,69.8,92.9,2239,12.3,14.036
"Wichita, KS",8,67.9,91.5,2032,12.3,14.036
"Wichita, KS",9,59.2,82,1616,12.3,14.036
"Wichita, KS",10,46.9,71.2,1250,12.3,14.036
"Wichita, KS",11,33.5,55.1,871,12.3,14.036
"Wichita, KS",12,24.2,44.6,690,12.3,14.036
"Wichita, KS",Annual,45.1,67.63333333,1502.416667,12.3,14.036
"Wilmington, DE",1,23.2,39.2,571,9.1,14.7175
"Wilmington, DE",2,24.6,41.8,827,9.1,14.7175
"Wilmington, DE",3,32.6,50.9,1149,9.1,14.7175
"Wilmington, DE",4,41.8,63,1480,9.1,14.7175
"Wilmington, DE",5,51.7,72.7,1710,9.1,14.7175
"Wilmington, DE",6,61.2,81.2,1883,9.1,14.7175
"Wilmington, DE",7,66.3,85.6,1823,9.1,14.7175
"Wilmington, DE",8,65.4,84.1,1615,9.1,14.7175
"Wilmington, DE",9,58,77.8,1318,9.1,14.7175
"Wilmington, DE",10,45.9,66.7,984,9.1,14.7175
"Wilmington, DE",11,36.4,54.8,645,9.1,14.7175
"Wilmington, DE",12,27.3,43.6,489,9.1,14.7175
"Wilmington, DE",Annual,44.53333333,63.45,1207.833333,9.1,14.7175
